"reg";"cl_age90";"jour";"hosp";"rea";"rad";"dc"
"04";"19";"2020-04-10";2;0;1;0
"04";"29";"2020-04-10";3;0;9;0
"04";"39";"2020-04-10";1;0;12;0
"04";"49";"2020-04-10";4;0;6;0
"04";"59";"2020-04-10";11;1;10;0
"04";"69";"2020-04-10";9;1;11;0
"04";"79";"2020-04-10";5;1;9;0
"04";"89";"2020-04-10";7;0;0;0
"04";"90";"2020-04-10";0;0;0;0
"06";"0";"2020-04-10";20;4;24;2
"06";"09";"2020-04-10";0;0;0;0
"06";"19";"2020-04-10";0;0;1;0
"06";"29";"2020-04-10";1;0;2;0
"06";"39";"2020-04-10";2;0;3;0
"06";"49";"2020-04-10";2;1;7;1
"06";"59";"2020-04-10";2;1;7;1
"06";"69";"2020-04-10";8;2;2;0
"06";"79";"2020-04-10";2;0;1;0
"06";"89";"2020-04-10";3;0;1;0
"06";"90";"2020-04-10";0;0;0;0
"11";"0";"2020-04-10";12861;2665;8313;3300
"11";"09";"2020-04-10";0;0;0;0
"11";"19";"2020-04-10";34;10;63;1
"11";"29";"2020-04-10";179;29;341;3
"11";"39";"2020-04-10";531;125;863;21
"11";"49";"2020-04-10";1050;296;1235;58
"11";"59";"2020-04-10";2028;707;1800;231
"11";"69";"2020-04-10";2561;904;1707;461
"11";"79";"2020-04-10";2616;512;1214;828
"11";"89";"2020-04-10";2473;39;707;1086
"11";"90";"2020-04-10";1191;4;180;577
"24";"0";"2020-04-10";894;210;528;179
"24";"09";"2020-04-10";0;0;0;0
"24";"19";"2020-04-10";2;1;8;0
"24";"29";"2020-04-10";10;2;17;0
"24";"39";"2020-04-10";20;8;33;1
"24";"49";"2020-04-10";46;15;75;2
"24";"59";"2020-04-10";80;37;85;4
"24";"69";"2020-04-10";158;72;114;12
"24";"79";"2020-04-10";204;69;101;35
"24";"89";"2020-04-10";224;5;66;73
"24";"90";"2020-04-10";141;1;15;50
"27";"0";"2020-04-10";1282;290;1309;459
"27";"09";"2020-04-10";0;0;0;0
"27";"19";"2020-04-10";3;1;13;0
"27";"29";"2020-04-10";4;0;53;0
"27";"39";"2020-04-10";21;5;103;2
"27";"49";"2020-04-10";33;13;149;4
"27";"59";"2020-04-10";115;50;215;9
"27";"69";"2020-04-10";249;103;251;38
"27";"79";"2020-04-10";305;94;243;98
"27";"89";"2020-04-10";393;22;210;220
"27";"90";"2020-04-10";156;1;59;87
"28";"0";"2020-04-10";741;210;512;188
"28";"09";"2020-04-10";0;0;0;0
"28";"19";"2020-04-10";1;0;3;0
"28";"29";"2020-04-10";7;0;27;0
"28";"39";"2020-04-10";12;6;47;1
"28";"49";"2020-04-10";52;24;65;3
"28";"59";"2020-04-10";92;43;99;11
"28";"69";"2020-04-10";164;65;99;29
"28";"79";"2020-04-10";176;56;93;39
"28";"89";"2020-04-10";168;15;58;73
"28";"90";"2020-04-10";67;0;13;32
"32";"0";"2020-04-10";2456;564;1873;762
"32";"09";"2020-04-10";0;0;0;0
"32";"19";"2020-04-10";7;3;9;0
"32";"29";"2020-04-10";23;4;94;0
"32";"39";"2020-04-10";57;12;163;2
"32";"49";"2020-04-10";136;46;255;8
"32";"59";"2020-04-10";299;111;385;32
"32";"69";"2020-04-10";482;180;334;96
"32";"79";"2020-04-10";564;163;327;178
"32";"89";"2020-04-10";638;36;209;312
"32";"90";"2020-04-10";223;3;69;130
"44";"0";"2020-04-10";4899;889;4445;1952
"44";"09";"2020-04-10";0;0;0;0
"44";"19";"2020-04-10";13;1;36;0
"44";"29";"2020-04-10";40;8;182;2
"44";"39";"2020-04-10";95;22;279;10
"44";"49";"2020-04-10";204;51;430;24
"44";"59";"2020-04-10";519;162;768;57
"44";"69";"2020-04-10";987;331;937;193
"44";"79";"2020-04-10";1196;272;898;525
"44";"89";"2020-04-10";1305;37;598;815
"44";"90";"2020-04-10";494;0;169;320
"52";"0";"2020-04-10";772;180;641;169
"52";"09";"2020-04-10";0;0;0;0
"52";"19";"2020-04-10";0;0;2;0
"52";"29";"2020-04-10";11;2;26;0
"52";"39";"2020-04-10";20;7;46;0
"52";"49";"2020-04-10";33;14;94;1
"52";"59";"2020-04-10";79;40;117;5
"52";"69";"2020-04-10";149;53;124;20
"52";"79";"2020-04-10";170;61;134;28
"52";"89";"2020-04-10";217;1;80;71
"52";"90";"2020-04-10";91;1;16;44
"53";"0";"2020-04-10";490;127;431;121
"53";"09";"2020-04-10";0;0;0;0
"53";"19";"2020-04-10";1;0;3;0
"53";"29";"2020-04-10";5;1;16;0
"53";"39";"2020-04-10";10;1;48;0
"53";"49";"2020-04-10";30;11;47;0
"53";"59";"2020-04-10";67;29;73;1
"53";"69";"2020-04-10";90;42;86;16
"53";"79";"2020-04-10";129;40;97;25
"53";"89";"2020-04-10";101;3;42;52
"53";"90";"2020-04-10";54;0;10;27
"75";"0";"2020-04-10";775;229;742;174
"75";"09";"2020-04-10";0;0;0;0
"75";"19";"2020-04-10";2;0;7;0
"75";"29";"2020-04-10";6;2;36;1
"75";"39";"2020-04-10";17;5;57;0
"75";"49";"2020-04-10";37;16;79;1
"75";"59";"2020-04-10";87;41;146;8
"75";"69";"2020-04-10";162;72;161;13
"75";"79";"2020-04-10";171;73;119;36
"75";"89";"2020-04-10";189;18;87;78
"75";"90";"2020-04-10";99;0;35;36
"76";"0";"2020-04-10";958;314;1187;222
"76";"09";"2020-04-10";0;0;0;0
"76";"19";"2020-04-10";2;1;9;0
"76";"29";"2020-04-10";6;1;67;1
"76";"39";"2020-04-10";19;5;100;0
"76";"49";"2020-04-10";52;13;159;1
"76";"59";"2020-04-10";119;53;243;8
"76";"69";"2020-04-10";202;98;214;20
"76";"79";"2020-04-10";254;114;226;48
"76";"89";"2020-04-10";215;28;121;104
"76";"90";"2020-04-10";87;1;32;40
"84";"0";"2020-04-10";2950;698;2691;721
"84";"09";"2020-04-10";0;0;0;0
"84";"19";"2020-04-10";9;2;21;0
"84";"29";"2020-04-10";27;3;123;0
"84";"39";"2020-04-10";51;10;211;4
"84";"49";"2020-04-10";108;27;309;8
"84";"59";"2020-04-10";272;104;478;21
"84";"69";"2020-04-10";525;238;508;41
"84";"79";"2020-04-10";723;252;510;165
"84";"89";"2020-04-10";796;47;371;318
"84";"90";"2020-04-10";394;1;92;150
"93";"0";"2020-04-10";1804;441;1946;299
"93";"09";"2020-04-10";0;0;0;0
"93";"19";"2020-04-10";6;1;30;0
"93";"29";"2020-04-10";28;5;147;1
"93";"39";"2020-04-10";52;10;198;1
"93";"49";"2020-04-10";94;29;299;3
"93";"59";"2020-04-10";240;77;404;15
"93";"69";"2020-04-10";355;112;363;21
"93";"79";"2020-04-10";445;145;245;71
"93";"89";"2020-04-10";393;39;167;124
"93";"90";"2020-04-10";159;4;58;60
"94";"0";"2020-04-10";78;15;120;35
"94";"09";"2020-04-10";0;0;0;0
"94";"19";"2020-04-10";0;0;4;0
"94";"29";"2020-04-10";0;0;14;0
"94";"39";"2020-04-10";0;0;14;0
"94";"49";"2020-04-10";4;0;15;1
"94";"59";"2020-04-10";10;3;23;1
"94";"69";"2020-04-10";13;7;18;2
"94";"79";"2020-04-10";21;4;15;7
"94";"89";"2020-04-10";21;1;9;19
"94";"90";"2020-04-10";9;0;5;5
"01";"0";"2020-04-11";37;20;50;10
"01";"09";"2020-04-11";0;0;0;0
"01";"19";"2020-04-11";0;0;0;0
"01";"29";"2020-04-11";0;0;1;0
"01";"39";"2020-04-11";1;1;3;0
"01";"49";"2020-04-11";3;3;4;0
"01";"59";"2020-04-11";6;3;16;1
"01";"69";"2020-04-11";8;4;13;2
"01";"79";"2020-04-11";10;7;5;4
"01";"89";"2020-04-11";9;2;7;3
"01";"90";"2020-04-11";0;0;0;0
"02";"0";"2020-04-11";41;15;50;5
"02";"09";"2020-04-11";0;0;0;0
"02";"19";"2020-04-11";0;0;0;0
"02";"29";"2020-04-11";1;0;2;0
"02";"39";"2020-04-11";1;0;2;0
"02";"49";"2020-04-11";3;0;12;0
"02";"59";"2020-04-11";11;6;10;0
"02";"69";"2020-04-11";11;4;13;0
"02";"79";"2020-04-11";10;5;8;1
"02";"89";"2020-04-11";3;0;3;4
"02";"90";"2020-04-11";1;0;0;0
"03";"0";"2020-04-11";9;1;13;0
"03";"09";"2020-04-11";0;0;0;0
"03";"19";"2020-04-11";0;0;0;0
"03";"29";"2020-04-11";0;0;1;0
"03";"39";"2020-04-11";0;0;2;0
"03";"49";"2020-04-11";4;0;5;0
"03";"59";"2020-04-11";0;0;2;0
"03";"69";"2020-04-11";2;0;1;0
"03";"79";"2020-04-11";1;0;0;0
"03";"89";"2020-04-11";1;1;1;0
"03";"90";"2020-04-11";0;0;0;0
"04";"0";"2020-04-11";30;3;70;0
"04";"09";"2020-04-11";0;0;0;0
"04";"19";"2020-04-11";2;0;1;0
"04";"29";"2020-04-11";0;0;12;0
"04";"39";"2020-04-11";0;0;13;0
"04";"49";"2020-04-11";2;0;8;0
"04";"59";"2020-04-11";6;1;15;0
"04";"69";"2020-04-11";8;1;12;0
"04";"79";"2020-04-11";5;1;9;0
"04";"89";"2020-04-11";7;0;0;0
"04";"90";"2020-04-11";0;0;0;0
"06";"0";"2020-04-11";20;3;25;3
"06";"09";"2020-04-11";0;0;0;0
"06";"19";"2020-04-11";0;0;1;0
"06";"29";"2020-04-11";1;0;2;0
"06";"39";"2020-04-11";2;0;3;0
"06";"49";"2020-04-11";2;1;7;1
"06";"59";"2020-04-11";4;0;7;1
"06";"69";"2020-04-11";7;2;3;0
"06";"79";"2020-04-11";2;0;1;0
"06";"89";"2020-04-11";2;0;1;1
"06";"90";"2020-04-11";0;0;0;0
"11";"0";"2020-04-11";13025;2617;8796;3416
"11";"09";"2020-04-11";0;0;0;1
"11";"19";"2020-04-11";39;12;66;1
"11";"29";"2020-04-11";183;28;355;4
"11";"39";"2020-04-11";526;128;900;22
"11";"49";"2020-04-11";1032;291;1305;59
"11";"59";"2020-04-11";2020;695;1893;244
"11";"69";"2020-04-11";2534;874;1817;483
"11";"79";"2020-04-11";2659;510;1296;859
"11";"89";"2020-04-11";2561;39;756;1114
"11";"90";"2020-04-11";1255;3;195;596
"24";"0";"2020-04-11";922;202;568;193
"24";"09";"2020-04-11";0;0;0;0
"24";"19";"2020-04-11";2;1;8;0
"24";"29";"2020-04-11";9;3;21;0
"24";"39";"2020-04-11";19;8;35;1
"24";"49";"2020-04-11";44;12;79;2
"24";"59";"2020-04-11";85;34;89;4
"24";"69";"2020-04-11";165;72;122;13
"24";"79";"2020-04-11";207;65;109;36
"24";"89";"2020-04-11";233;6;72;78
"24";"90";"2020-04-11";147;1;19;57
"27";"0";"2020-04-11";1239;278;1411;478
"27";"09";"2020-04-11";0;0;0;0
"27";"19";"2020-04-11";2;1;14;0
"27";"29";"2020-04-11";3;0;57;0
"27";"39";"2020-04-11";17;4;110;2
"27";"49";"2020-04-11";27;11;157;4
"27";"59";"2020-04-11";103;47;230;9
"27";"69";"2020-04-11";229;97;273;40
"27";"79";"2020-04-11";299;94;257;105
"27";"89";"2020-04-11";400;22;232;225
"27";"90";"2020-04-11";155;1;68;92
"28";"0";"2020-04-11";726;202;554;196
"28";"09";"2020-04-11";0;0;0;0
"28";"19";"2020-04-11";1;0;3;0
"28";"29";"2020-04-11";6;0;28;0
"28";"39";"2020-04-11";12;6;49;1
"28";"49";"2020-04-11";47;21;71;4
"28";"59";"2020-04-11";83;39;110;11
"28";"69";"2020-04-11";163;64;105;30
"28";"79";"2020-04-11";176;57;103;40
"28";"89";"2020-04-11";167;13;63;76
"28";"90";"2020-04-11";69;0;14;34
"32";"0";"2020-04-11";2444;550;2017;806
"32";"09";"2020-04-11";0;0;0;0
"32";"19";"2020-04-11";7;2;10;0
"32";"29";"2020-04-11";20;5;96;0
"32";"39";"2020-04-11";55;11;172;2
"32";"49";"2020-04-11";127;44;273;9
"32";"59";"2020-04-11";279;109;418;34
"32";"69";"2020-04-11";472;176;366;104
"32";"79";"2020-04-11";561;159;354;186
"32";"89";"2020-04-11";656;37;229;328
"32";"90";"2020-04-11";239;2;73;138
"44";"0";"2020-04-11";4841;881;4581;2008
"44";"09";"2020-04-11";0;0;0;0
"44";"19";"2020-04-11";14;1;36;0
"44";"29";"2020-04-11";41;9;185;2
"44";"39";"2020-04-11";88;21;287;11
"44";"49";"2020-04-11";196;51;443;24
"44";"59";"2020-04-11";513;158;789;58
"44";"69";"2020-04-11";965;330;972;201
"44";"79";"2020-04-11";1189;268;930;534
"44";"89";"2020-04-11";1303;38;616;840
"44";"90";"2020-04-11";490;1;173;331
"52";"0";"2020-04-11";778;164;688;178
"52";"09";"2020-04-11";0;0;0;0
"52";"19";"2020-04-11";0;0;2;0
"52";"29";"2020-04-11";10;1;31;0
"52";"39";"2020-04-11";19;5;48;0
"52";"49";"2020-04-11";31;14;102;1
"52";"59";"2020-04-11";81;37;122;5
"52";"69";"2020-04-11";154;53;127;20
"52";"79";"2020-04-11";163;52;148;29
"52";"89";"2020-04-11";225;1;90;77
"52";"90";"2020-04-11";94;0;16;46
"53";"0";"2020-04-11";487;124;470;129
"53";"09";"2020-04-11";0;0;0;0
"53";"19";"2020-04-11";1;0;3;0
"53";"29";"2020-04-11";4;1;17;0
"53";"39";"2020-04-11";8;2;50;0
"53";"49";"2020-04-11";32;9;50;0
"53";"59";"2020-04-11";63;28;81;1
"53";"69";"2020-04-11";90;41;93;18
"53";"79";"2020-04-11";119;40;112;26
"53";"89";"2020-04-11";110;3;44;53
"53";"90";"2020-04-11";57;0;12;31
"75";"0";"2020-04-11";815;264;794;180
"75";"09";"2020-04-11";0;0;0;0
"75";"19";"2020-04-11";2;0;7;0
"75";"29";"2020-04-11";7;2;38;1
"75";"39";"2020-04-11";16;6;60;0
"75";"49";"2020-04-11";42;20;84;1
"75";"59";"2020-04-11";90;46;158;8
"75";"69";"2020-04-11";182;90;169;13
"75";"79";"2020-04-11";174;79;128;37
"75";"89";"2020-04-11";196;19;96;80
"75";"90";"2020-04-11";100;0;39;39
"76";"0";"2020-04-11";918;295;1271;233
"76";"09";"2020-04-11";0;0;0;0
"76";"19";"2020-04-11";5;1;9;0
"76";"29";"2020-04-11";7;1;67;1
"76";"39";"2020-04-11";18;4;104;1
"76";"49";"2020-04-11";48;12;167;1
"76";"59";"2020-04-11";110;50;256;8
"76";"69";"2020-04-11";200;98;229;21
"76";"79";"2020-04-11";234;104;245;50
"76";"89";"2020-04-11";207;25;136;110
"76";"90";"2020-04-11";89;0;42;41
"84";"0";"2020-04-11";2985;682;2857;755
"84";"09";"2020-04-11";0;0;0;0
"84";"19";"2020-04-11";9;2;23;0
"84";"29";"2020-04-11";28;4;129;0
"84";"39";"2020-04-11";52;11;223;4
"84";"49";"2020-04-11";108;24;318;8
"84";"59";"2020-04-11";265;102;508;22
"84";"69";"2020-04-11";515;230;542;44
"84";"79";"2020-04-11";723;247;534;171
"84";"89";"2020-04-11";820;46;407;335
"84";"90";"2020-04-11";426;1;98;157
"93";"0";"2020-04-11";1766;436;2053;317
"93";"09";"2020-04-11";0;0;0;0
"93";"19";"2020-04-11";5;1;32;0
"93";"29";"2020-04-11";28;5;151;1
"93";"39";"2020-04-11";51;11;203;1
"93";"49";"2020-04-11";86;28;313;3
"93";"59";"2020-04-11";228;76;421;17
"93";"69";"2020-04-11";338;114;388;22
"93";"79";"2020-04-11";440;141;261;74
"93";"89";"2020-04-11";384;38;185;133
"93";"90";"2020-04-11";173;4;63;62
"94";"0";"2020-04-11";76;15;122;36
"94";"09";"2020-04-11";0;0;0;0
"94";"19";"2020-04-11";0;0;4;0
"94";"29";"2020-04-11";0;0;14;0
"94";"39";"2020-04-11";0;0;14;0
"94";"49";"2020-04-11";5;0;15;1
"94";"59";"2020-04-11";10;3;23;1
"94";"69";"2020-04-11";13;7;18;2
"94";"79";"2020-04-11";20;4;16;7
"94";"89";"2020-04-11";19;1;10;20
"94";"90";"2020-04-11";9;0;5;5
"01";"0";"2020-04-12";38;19;51;10
"01";"09";"2020-04-12";0;0;0;0
"01";"19";"2020-04-12";1;0;0;0
"01";"29";"2020-04-12";0;0;1;0
"01";"39";"2020-04-12";1;1;3;0
"01";"49";"2020-04-12";3;2;4;0
"01";"59";"2020-04-12";6;3;16;1
"01";"69";"2020-04-12";8;4;14;2
"01";"79";"2020-04-12";10;7;5;4
"01";"89";"2020-04-12";9;2;7;3
"01";"90";"2020-04-12";0;0;0;0
"02";"0";"2020-04-12";38;15;52;6
"02";"09";"2020-04-12";0;0;0;0
"02";"19";"2020-04-12";0;0;0;0
"02";"29";"2020-04-12";1;0;2;0
"02";"39";"2020-04-12";1;0;2;0
"02";"49";"2020-04-12";3;0;12;0
"02";"59";"2020-04-12";10;6;11;0
"02";"69";"2020-04-12";10;4;13;1
"02";"79";"2020-04-12";9;5;9;1
"02";"89";"2020-04-12";3;0;3;4
"02";"90";"2020-04-12";1;0;0;0
"03";"0";"2020-04-12";15;1;13;0
"03";"09";"2020-04-12";0;0;0;0
"03";"19";"2020-04-12";0;0;0;0
"03";"29";"2020-04-12";2;0;1;0
"03";"39";"2020-04-12";1;0;2;0
"03";"49";"2020-04-12";5;0;5;0
"03";"59";"2020-04-12";0;0;2;0
"03";"69";"2020-04-12";2;0;1;0
"03";"79";"2020-04-12";3;0;0;0
"03";"89";"2020-04-12";1;1;1;0
"03";"90";"2020-04-12";0;0;0;0
"04";"0";"2020-04-12";28;3;72;0
"04";"09";"2020-04-12";0;0;0;0
"04";"19";"2020-04-12";2;0;1;0
"04";"29";"2020-04-12";0;0;12;0
"04";"39";"2020-04-12";0;0;13;0
"04";"49";"2020-04-12";2;0;8;0
"04";"59";"2020-04-12";5;1;16;0
"04";"69";"2020-04-12";8;1;12;0
"04";"79";"2020-04-12";4;1;10;0
"04";"89";"2020-04-12";7;0;0;0
"04";"90";"2020-04-12";0;0;0;0
"06";"0";"2020-04-12";22;3;25;3
"06";"09";"2020-04-12";0;0;0;0
"06";"19";"2020-04-12";0;0;1;0
"06";"29";"2020-04-12";1;0;2;0
"06";"39";"2020-04-12";2;0;3;0
"06";"49";"2020-04-12";2;1;7;1
"06";"59";"2020-04-12";5;0;7;1
"06";"69";"2020-04-12";8;2;3;0
"06";"79";"2020-04-12";2;0;1;0
"06";"89";"2020-04-12";2;0;1;1
"06";"90";"2020-04-12";0;0;0;0
"11";"0";"2020-04-12";13165;2626;9119;3548
"11";"09";"2020-04-12";0;0;0;1
"11";"19";"2020-04-12";35;11;70;1
"11";"29";"2020-04-12";185;26;366;7
"11";"39";"2020-04-12";530;126;922;26
"11";"49";"2020-04-12";1026;289;1348;69
"11";"59";"2020-04-12";2012;702;1977;253
"11";"69";"2020-04-12";2543;877;1896;506
"11";"79";"2020-04-12";2697;510;1336;880
"11";"89";"2020-04-12";2633;41;780;1153
"11";"90";"2020-04-12";1293;5;208;619
"24";"0";"2020-04-12";943;193;581;201
"24";"09";"2020-04-12";0;0;0;0
"24";"19";"2020-04-12";2;1;8;0
"24";"29";"2020-04-12";8;2;21;0
"24";"39";"2020-04-12";17;8;37;1
"24";"49";"2020-04-12";45;11;80;2
"24";"59";"2020-04-12";82;31;93;4
"24";"69";"2020-04-12";165;68;123;15
"24";"79";"2020-04-12";214;66;111;36
"24";"89";"2020-04-12";250;5;72;81
"24";"90";"2020-04-12";148;1;22;60
"27";"0";"2020-04-12";1294;278;1441;500
"27";"09";"2020-04-12";0;0;0;0
"27";"19";"2020-04-12";2;1;14;0
"27";"29";"2020-04-12";3;0;58;0
"27";"39";"2020-04-12";17;5;112;2
"27";"49";"2020-04-12";32;11;158;4
"27";"59";"2020-04-12";105;49;238;9
"27";"69";"2020-04-12";237;98;278;41
"27";"79";"2020-04-12";308;93;262;111
"27";"89";"2020-04-12";419;19;237;237
"27";"90";"2020-04-12";165;1;71;95
"28";"0";"2020-04-12";716;186;586;201
"28";"09";"2020-04-12";0;0;0;0
"28";"19";"2020-04-12";1;0;3;0
"28";"29";"2020-04-12";4;0;30;0
"28";"39";"2020-04-12";14;4;51;1
"28";"49";"2020-04-12";41;21;78;4
"28";"59";"2020-04-12";81;35;117;11
"28";"69";"2020-04-12";158;57;112;32
"28";"79";"2020-04-12";174;55;105;41
"28";"89";"2020-04-12";163;12;68;77
"28";"90";"2020-04-12";77;0;14;35
"32";"0";"2020-04-12";2484;549;2075;840
"32";"09";"2020-04-12";0;0;0;0
"32";"19";"2020-04-12";8;2;10;0
"32";"29";"2020-04-12";21;5;99;0
"32";"39";"2020-04-12";57;12;177;2
"32";"49";"2020-04-12";124;43;282;9
"32";"59";"2020-04-12";283;109;430;38
"32";"69";"2020-04-12";480;178;372;106
"32";"79";"2020-04-12";566;156;361;196
"32";"89";"2020-04-12";676;37;238;339
"32";"90";"2020-04-12";240;2;78;145
"44";"0";"2020-04-12";4887;878;4725;2064
"44";"09";"2020-04-12";0;0;0;0
"44";"19";"2020-04-12";11;1;39;0
"44";"29";"2020-04-12";39;9;189;2
"44";"39";"2020-04-12";89;20;290;11
"44";"49";"2020-04-12";197;50;457;24
"44";"59";"2020-04-12";513;157;816;60
"44";"69";"2020-04-12";971;328;1010;206
"44";"79";"2020-04-12";1179;272;959;553
"44";"89";"2020-04-12";1329;36;634;856
"44";"90";"2020-04-12";519;1;178;345
"52";"0";"2020-04-12";810;167;703;182
"52";"09";"2020-04-12";0;0;0;0
"52";"19";"2020-04-12";0;0;2;0
"52";"29";"2020-04-12";9;2;33;0
"52";"39";"2020-04-12";19;4;50;0
"52";"49";"2020-04-12";32;17;104;1
"52";"59";"2020-04-12";78;37;130;6
"52";"69";"2020-04-12";159;52;128;20
"52";"79";"2020-04-12";172;53;149;30
"52";"89";"2020-04-12";234;1;90;78
"52";"90";"2020-04-12";106;0;15;47
"53";"0";"2020-04-12";510;119;481;132
"53";"09";"2020-04-12";0;0;0;0
"53";"19";"2020-04-12";2;0;3;0
"53";"29";"2020-04-12";5;0;17;0
"53";"39";"2020-04-12";8;2;50;0
"53";"49";"2020-04-12";34;7;54;0
"53";"59";"2020-04-12";61;27;84;1
"53";"69";"2020-04-12";90;39;96;19
"53";"79";"2020-04-12";129;41;112;26
"53";"89";"2020-04-12";117;3;45;53
"53";"90";"2020-04-12";61;0;12;33
"75";"0";"2020-04-12";832;257;815;190
"75";"09";"2020-04-12";0;0;0;0
"75";"19";"2020-04-12";2;0;7;0
"75";"29";"2020-04-12";8;2;39;1
"75";"39";"2020-04-12";18;6;63;0
"75";"49";"2020-04-12";41;20;87;1
"75";"59";"2020-04-12";89;45;163;8
"75";"69";"2020-04-12";182;91;175;13
"75";"79";"2020-04-12";177;74;129;41
"75";"89";"2020-04-12";202;18;97;86
"75";"90";"2020-04-12";108;0;39;39
"76";"0";"2020-04-12";954;294;1287;239
"76";"09";"2020-04-12";0;0;0;0
"76";"19";"2020-04-12";5;1;9;0
"76";"29";"2020-04-12";8;1;68;1
"76";"39";"2020-04-12";19;3;104;1
"76";"49";"2020-04-12";49;12;170;1
"76";"59";"2020-04-12";111;51;262;8
"76";"69";"2020-04-12";199;97;231;22
"76";"79";"2020-04-12";236;103;248;52
"76";"89";"2020-04-12";220;26;136;112
"76";"90";"2020-04-12";107;0;43;42
"84";"0";"2020-04-12";3025;674;2936;773
"84";"09";"2020-04-12";0;0;0;0
"84";"19";"2020-04-12";8;2;25;0
"84";"29";"2020-04-12";28;3;134;0
"84";"39";"2020-04-12";49;11;227;4
"84";"49";"2020-04-12";103;24;327;9
"84";"59";"2020-04-12";268;103;524;22
"84";"69";"2020-04-12";522;233;555;48
"84";"79";"2020-04-12";728;240;552;172
"84";"89";"2020-04-12";837;42;416;344
"84";"90";"2020-04-12";443;1;100;160
"93";"0";"2020-04-12";1830;438;2097;328
"93";"09";"2020-04-12";0;0;0;0
"93";"19";"2020-04-12";8;1;32;0
"93";"29";"2020-04-12";29;6;155;1
"93";"39";"2020-04-12";54;11;205;1
"93";"49";"2020-04-12";90;29;316;3
"93";"59";"2020-04-12";227;74;431;18
"93";"69";"2020-04-12";347;115;398;22
"93";"79";"2020-04-12";446;139;271;76
"93";"89";"2020-04-12";417;41;186;138
"93";"90";"2020-04-12";181;4;67;65
"94";"0";"2020-04-12";74;14;126;36
"94";"09";"2020-04-12";0;0;0;0
"94";"19";"2020-04-12";0;0;4;0
"94";"29";"2020-04-12";0;0;14;0
"94";"39";"2020-04-12";0;0;14;0
"94";"49";"2020-04-12";4;0;16;1
"94";"59";"2020-04-12";9;3;24;1
"94";"69";"2020-04-12";11;5;19;2
"94";"79";"2020-04-12";21;5;16;7
"94";"89";"2020-04-12";21;1;10;20
"94";"90";"2020-04-12";8;0;6;5
"01";"0";"2020-04-13";41;18;51;10
"01";"09";"2020-04-13";0;0;0;0
"01";"19";"2020-04-13";1;0;0;0
"01";"29";"2020-04-13";0;0;1;0
"01";"39";"2020-04-13";1;0;3;0
"01";"49";"2020-04-13";3;2;4;0
"01";"59";"2020-04-13";6;3;16;1
"01";"69";"2020-04-13";9;4;14;2
"01";"79";"2020-04-13";11;7;5;4
"01";"89";"2020-04-13";10;2;7;3
"01";"90";"2020-04-13";0;0;0;0
"02";"0";"2020-04-13";39;16;52;6
"02";"09";"2020-04-13";0;0;0;0
"02";"19";"2020-04-13";0;0;0;0
"02";"29";"2020-04-13";1;0;2;0
"02";"39";"2020-04-13";1;0;2;0
"02";"49";"2020-04-13";3;0;12;0
"02";"59";"2020-04-13";10;6;11;0
"02";"69";"2020-04-13";10;4;13;1
"02";"79";"2020-04-13";9;5;9;1
"02";"89";"2020-04-13";4;1;3;4
"02";"90";"2020-04-13";1;0;0;0
"03";"0";"2020-04-13";15;1;13;0
"03";"09";"2020-04-13";0;0;0;0
"03";"19";"2020-04-13";0;0;0;0
"03";"29";"2020-04-13";2;0;1;0
"03";"39";"2020-04-13";1;0;2;0
"03";"49";"2020-04-13";5;0;5;0
"03";"59";"2020-04-13";0;0;2;0
"03";"69";"2020-04-13";2;0;1;0
"03";"79";"2020-04-13";3;0;0;0
"03";"89";"2020-04-13";1;1;1;0
"03";"90";"2020-04-13";0;0;0;0
"04";"0";"2020-04-13";28;3;72;0
"04";"09";"2020-04-13";0;0;0;0
"04";"19";"2020-04-13";2;0;1;0
"04";"29";"2020-04-13";0;0;12;0
"04";"39";"2020-04-13";0;0;13;0
"04";"49";"2020-04-13";2;0;8;0
"04";"59";"2020-04-13";5;1;16;0
"04";"69";"2020-04-13";8;1;12;0
"04";"79";"2020-04-13";4;1;10;0
"04";"89";"2020-04-13";7;0;0;0
"04";"90";"2020-04-13";0;0;0;0
"06";"0";"2020-04-13";22;3;25;3
"06";"09";"2020-04-13";0;0;0;0
"06";"19";"2020-04-13";0;0;1;0
"06";"29";"2020-04-13";1;0;2;0
"06";"39";"2020-04-13";2;0;3;0
"06";"49";"2020-04-13";2;1;7;1
"06";"59";"2020-04-13";5;0;7;1
"06";"69";"2020-04-13";8;2;3;0
"06";"79";"2020-04-13";2;0;1;0
"06";"89";"2020-04-13";2;0;1;1
"06";"90";"2020-04-13";0;0;0;0
"11";"0";"2020-04-13";13196;2604;9387;3704
"11";"09";"2020-04-13";0;0;0;1
"11";"19";"2020-04-13";37;11;71;2
"11";"29";"2020-04-13";187;25;374;7
"11";"39";"2020-04-13";517;124;953;29
"11";"49";"2020-04-13";1021;296;1384;72
"11";"59";"2020-04-13";2016;703;2034;262
"11";"69";"2020-04-13";2546;866;1953;532
"11";"79";"2020-04-13";2678;497;1383;924
"11";"89";"2020-04-13";2659;40;802;1203
"11";"90";"2020-04-13";1320;6;212;643
"24";"0";"2020-04-13";983;196;595;214
"24";"09";"2020-04-13";0;0;0;0
"24";"19";"2020-04-13";3;1;9;0
"24";"29";"2020-04-13";9;2;23;0
"24";"39";"2020-04-13";16;8;39;1
